,avg,avgTrades,dateRange,evaluationScore,evaluationScoreOnSecondary,id,max,maxsize,min,sharpe,size,std
0,-48.469841190413,343.03333333333336,2016-08-01 05:10:49 to 2016-10-30 05:10:49,,,0,-0.060351357466515765,30,-102.31458530159549,-3.038604453858102,30,31.69568365154732
1,-20.701504112162933,205.0625,,,,1,-0.060351357466515765,30,-107.04110250964733,-1.4627961633596038,22,28.152300990030486
2,-26.20756848206182,201.8235294117647,,,,2,-0.060351357466515765,30,-101.45470860638542,-1.9681704166272358,21,26.7691660087332
3,-19.555083107891615,222.07142857142858,,,,3,-0.060351357466515765,30,-107.49162995451546,-1.644302122021785,25,25.015814057403965
4,-18.114457512047583,196.375,,,,4,-1.1454677327445353,30,-100.55050760131503,-1.5688129543595992,30,25.306864342978642
5,-20.839292691428934,306.05,,,,5,-1.1454677327445353,90,-106.10549923049949,-1.8241039503519634,43,29.362968904886568
6,-19.355420882392362,375.07142857142856,,,,6,-1.1454677327445353,90,-95.97852981588792,-1.747906049385258,44,28.562185113380384
7,-13.821728742871807,355.1,,,,7,-4.88834599552068,90,-101.731305724386,-1.3856924865529974,46,23.585921918731653
8,-12.910232116911443,305.5,,,,8,-1.1454677327445353,90,-106.10549923049949,-1.3754571182904214,52,21.911563873816725
9,-13.123472621996042,122.23076923076923,,,,9,-1.1454677327445353,15,-76.88604737904674,-1.6255818250485712,23,21.369957310279055
10,-4.987644892758909,0.0,,-1361.439799972717,-1334.315074549807,10,-2.730113820267519,15,-8.95177278415305,-0.8268224903583233,14,1.981615536250906
11,-19.5999129955298,321.1904761904762,,,,11,-0.060351357466515765,90,-101.62903931224746,-1.623178150258107,47,31.830395196880687
12,-25.503067941309638,338.1666666666667,,,,12,-0.060351357466515765,15,-101.62903931224746,-2.0802528562454374,20,34.77519495714771
13,-19.82236546519604,219.66666666666666,,,,13,-1.1454677327445353,15,-92.8481852925876,-1.719636359067179,21,27.81540055282308
14,-7.327272360667946,84.875,,,,14,-0.060351357466515765,90,-76.96554163444526,-0.9440881396480446,47,13.66346330837136
15,-13.507749982185953,290.14285714285717,,,,15,-1.5329276354123778,15,-94.5882716554729,-1.2708551017762957,22,26.340077900904344
16,-19.461546258418775,347.8,,,,16,-1.1454677327445353,90,-101.62903931224746,-1.7203353125818546,46,32.66604127000093
17,-15.82080480658569,192.63636363636363,,,,17,-0.060351357466515765,15,-76.96554163444526,-1.2847623622014057,23,24.666224534741378
18,-15.46547348061182,286.0,,,,18,-2.730113820267519,15,-76.96554163444526,-1.393604568634169,21,25.596810513285984
19,-14.049115163830834,154.6153846153846,,,,19,-0.060351357466515765,90,-93.1656995737111,-1.3035695654347659,46,24.606880665125743
20,-2.730113820267519,0.0,,-1420.5372228616097,-1334.315074549807,20,-2.730113820267519,15,-2.730113820267519,-0.5359381165881539,12,0.0
21,-21.57073963728317,261.375,,,,21,-0.7963784650361703,90,-101.62903931224746,-1.6754687876846985,39,32.697650806546676
22,-21.607970093616498,405.1,,,,22,-0.060351357466515765,15,-101.62903931224746,-1.6890481724419801,22,35.501634459252244
23,-9.247516733243643,132.5,,,,23,-1.5329276354123778,15,-76.96554163444526,-1.0914627991109154,16,17.90380158373819
24,-13.80838756795204,226.85714285714286,,,,24,-1.5329276354123778,90,-76.96554163444526,-1.5079736581605019,39,23.530006883946356
25,-8.56331861781322,171.63636363636363,,,,25,-0.9448307530951894,90,-76.96554163444526,-1.2012464315490508,45,17.989387862088066
26,-10.60390119403363,198.14285714285714,,,,26,-1.5329276354123778,15,-76.96554163444526,-1.337557464028881,23,21.79388089492693
27,-17.283546812198114,340.6666666666667,,,,27,-2.203574227031723,51,-76.96554163444526,-1.8793382276658464,28,28.162770337086048
28,-10.597743898420797,275.25,,,,28,-1.5329276354123778,90,-94.5882716554729,-1.4460988414699865,48,22.759150029142045
29,-6.005703871071595,78.16666666666667,,,,29,-0.9448307530951894,15,-62.44303469616036,-1.0113623043277429,16,14.599193729739865
30,-2.602905538617291,0.0,,-2340.968509280673,3143.719599326285,30,-2.203574227031723,15,-5.398224719716268,-0.9193076394331792,8,1.0565313411766595
31,-12.114683662580044,124.66666666666667,,,,31,-0.7963784650361703,90,-76.03771385602275,-1.3951213621385306,26,21.56722551969413
32,-17.033231074559044,203.33333333333334,,,,32,-0.7963784650361703,15,-76.96554163444526,-1.781479761204418,16,26.801756267456962
33,-17.10437363724987,214.0,,,,33,-1.5329276354123778,15,-76.96554163444526,-1.6768166294718176,13,25.41164290210725
34,-19.658342529012984,303.73333333333335,,,,34,-0.060351357466515765,68,-102.52494815431928,-1.7498697729501298,34,30.177865353742842
35,-18.974546574844755,239.11111111111111,,,,35,-2.047402867476052,15,-76.96554163444526,-1.8945688559053666,18,27.20815305048295
36,-12.435393761480459,165.8181818181818,,,,36,-1.5329276354123778,90,-102.51689248969734,-1.2873682218118896,45,23.188236220181786
37,-23.704345502318063,404.2857142857143,,,,37,-2.047402867476052,15,-86.86599025760604,-2.073406347988504,18,31.318970502870002
38,-20.754061295448786,256.6363636363636,,,,38,-1.5329276354123778,34,-86.86599025760604,-1.8466107452237654,21,29.723542421185527
39,-12.405161145302946,157.875,,,,39,-0.7963784650361703,15,-62.44303469616036,-1.2951963868229628,18,21.91151236099507
40,-2.047402867476052,0.0,,-1321.3783283603643,-1288.8252259693609,40,-2.047402867476052,15,-2.047402867476052,-0.4847279508576257,6,0.0
